Date,Close,Actual_Price,Actual_Change,Predicted_Change,Predicted_Price,Predicted_Change_Pct,Price_Error,Abs_Price_Error,Confidence,Direction_Correct,Signal,Confidence_Score,YearMonth,MA50,Above_MA50,Cash,Shares_Held,Portfolio_Value,Daily_Return,Trade_Filter,Cumulative_Return
2025-01-06,585.0792846679688,585.0792846679688,7.22515869140625,13.372161919287556,571.7071227486812,2.2855298879494987,-13.372161919287578,13.372161919287578,0.5039261776384553,1,HOLD,0.5039261776384553,2025-01,,False,100015.0,0.0,100015.0,15.0,ACCEPTED,0.015
2025-01-07,588.4497680664062,588.4497680664062,3.3704833984375,11.095698344869014,577.3540697215373,1.8855812249409996,-11.095698344868993,11.095698344868993,0.5883772928466697,1,HOLD,0.5883772928466697,2025-01,,False,100030.00225,0.0,100030.00225,15.002250000005006,ACCEPTED,0.030002250000005004
2025-01-08,581.7979125976562,581.7979125976562,-6.65185546875,13.441892448393236,568.356020149263,2.3104057538427454,-13.44189244839322,13.44189244839322,0.5013393490973774,0,SELL,0.5013393490973774,2025-01,,False,100045.0067503375,0.0,100045.0067503375,15.00450033749803,ACCEPTED,0.04500675033750304
2025-01-10,582.6478881835938,582.6478881835938,0.8499755859375,11.859871996343148,570.7880161872506,2.035512740519206,-11.859871996343143,11.859871996343143,0.5600283582074638,1,HOLD,0.5600283582074638,2025-01,,False,100060.01350135005,0.0,100060.01350135005,15.006751012551831,ACCEPTED,0.06001350135005487
2025-01-13,573.7523193359375,573.7523193359375,-8.89556884765625,25.885620304864283,547.8666990310733,4.511636717185627,-25.885620304864233,25.885620304864233,0.0397081125444711,0,SELL,0.0397081125444711,2025-01,,False,100075.02250337525,0.0,100075.02250337525,15.009002025195514,ACCEPTED,0.07502250337525038
2025-01-14,574.6419067382812,574.6419067382812,0.88958740234375,23.16289919579242,551.4790075424888,4.030840585098832,-23.16289919579242,23.16289919579242,0.1407142681649438,1,SELL,0.1407142681649438,2025-01,,False,100090.03375675075,0.0,100090.03375675075,15.011253375501838,ACCEPTED,0.09003375675075222
2025-01-15,575.4325561523438,575.4325561523438,0.7906494140625,23.089330643842462,552.3432255085013,4.012517261489398,-23.08933064384246,23.08933064384246,0.1434434777715655,1,SELL,0.1434434777715655,2025-01,,False,100105.04726181427,0.0,100105.04726181427,15.013505063514458,ACCEPTED,0.10504726181426668
2025-01-16,585.8997192382812,585.8997192382812,10.4671630859375,13.29825716477032,572.6014620735109,2.269715572156131,-13.298257164770348,13.298257164770348,0.5066678595209617,1,HOLD,0.5066678595209617,2025-01,,False,100120.06301890354,0.0,100120.06301890354,15.015757089277031,ACCEPTED,0.1200630189035437
2025-01-17,584.7728881835938,584.7728881835938,-1.1268310546875,14.51146928967076,570.261418893923,2.481556444031786,-14.5114692896708,14.5114692896708,0.4616607185838886,0,SELL,0.4616607185838886,2025-01,,False,100135.08102835638,0.0,100135.08102835638,15.018009452833212,ACCEPTED,0.13508102835637692
2025-01-21,590.64404296875,590.64404296875,5.87115478515625,13.239941892824517,577.4041010759255,2.241611009276702,-13.239941892824504,13.239941892824504,0.5088312105206607,1,HOLD,0.5088312105206607,2025-01,,False,100150.10129051063,0.0,100150.10129051063,15.02026215425576,ACCEPTED,0.15010129051063267
2025-01-22,596.0504150390625,596.0504150390625,5.4063720703125,12.374491274161596,583.6759237649009,2.0760813115700336,-12.374491274161642,12.374491274161642,0.5409372677952142,1,HOLD,0.5409372677952142,2025-01,,False,100165.1238057042,0.0,100165.1238057042,15.022515193573781,ACCEPTED,0.16512380570420646
2025-01-23,599.4011840820312,599.4011840820312,3.35076904296875,6.600715478150048,592.8004686038812,1.1012182914284507,-6.60071547815005,6.60071547815005,0.7551299350597934,1,BUY,0.7551299350597934,2025-01,,False,100180.14857427507,0.0,100180.14857427507,15.024768570860033,Low_Conf(0.76),0.1801485742750665
