Symbol,Year,Sector,Threshold,Initial_Capital,Final_Value,Total_Return,B&H_Return,Outperformance,Max_Drawdown,Sharpe_Ratio,Trades_Executed,Num_Trades,Win_Rate
AAPL,2024,Technology,0.6,100000,106402.29466804606,0.06402294668046059,0.053185468961656546,0.010837477718804042,-0.007057438304847143,5.830569937750553,4,4,1.0
AAPL,2024,Technology,0.65,100000,106402.29466804606,0.06402294668046059,0.053185468961656546,0.010837477718804042,-0.007057438304847143,5.830569937750553,4,4,1.0
AAPL,2024,Technology,0.7,100000,106452.74938300505,0.06452749383005052,0.053185468961656546,0.011342024868393974,-0.007057438304847149,5.915124889647157,4,4,1.0
AAPL,2024,Technology,0.75,100000,102859.40700119853,0.028594070011985315,0.053185468961656546,-0.02459139894967123,-0.007057438304847166,3.120145930278609,2,2,1.0
AAPL,2024,Technology,0.8,100000,100033.25476034611,0.0003325476034611347,0.053185468961656546,-0.05285292135819541,-0.007057438304847193,0.061653531614045125,1,1,1.0
AAPL,2024,Technology,0.85,100000,99131.34773187453,-0.00868652268125472,0.053185468961656546,-0.06187199164291127,-0.00868652268125472,-2.2246245491497567,1,1,0.0
GOOGL,2024,Technology,0.6,100000,103106.0681482726,0.031060681482726067,0.036288936352746444,-0.005228254870020377,-0.006828827985054517,4.27320569020506,4,4,0.75
GOOGL,2024,Technology,0.65,100000,105567.68646269201,0.05567686462692014,0.036288936352746444,0.019387928274173696,-0.006828827985054541,5.7741974839706485,4,4,0.75
GOOGL,2024,Technology,0.7,100000,103390.00546776099,0.03390005467760988,0.036288936352746444,-0.002388881675136567,-0.006828827985054492,4.159712354704567,3,3,0.6666666666666666
GOOGL,2024,Technology,0.75,100000,102102.95445091157,0.021029544509115657,0.036288936352746444,-0.015259391843630787,-0.006828827985054526,2.8948745828347024,2,2,0.5
GOOGL,2024,Technology,0.8,100000,99317.11720149455,-0.006828827985054522,0.036288936352746444,-0.043117764337800964,-0.006828827985054522,-2.6372119834551926,1,1,0.0
GOOGL,2024,Technology,0.85,100000,99270.42863843772,-0.007295713615622808,0.036288936352746444,-0.04358464996836925,-0.007745558105863317,-2.241094842052194,1,1,0.0
MSFT,2024,Technology,0.6,100000,103199.51728782893,0.031995172878289305,0.08150160396922712,-0.049506431090937816,-0.008406081225488787,4.5428346763854295,4,4,0.75
MSFT,2024,Technology,0.65,100000,105656.92568844721,0.056569256884472126,0.08150160396922712,-0.024932347084754995,-0.008406081225488781,5.732030841529678,4,4,0.75
MSFT,2024,Technology,0.7,100000,103799.4441418557,0.037994441418556964,0.08150160396922712,-0.04350716255067016,-0.008406081225488958,4.435724685875931,3,3,0.6666666666666666
MSFT,2024,Technology,0.75,100000,99523.02544139602,-0.004769745586039789,0.08150160396922712,-0.08627134955526691,-0.008406081225488802,-1.3270654769779642,1,1,0.0
MSFT,2024,Technology,0.8,100000,99523.02544139602,-0.004769745586039789,0.08150160396922712,-0.08627134955526691,-0.008406081225488802,-1.3270654769779642,1,1,0.0
MSFT,2024,Technology,0.85,100000,99388.8987283175,-0.006111012716825062,0.08150160396922712,-0.08761261668605218,-0.006484442080186659,-1.8037272879841986,1,1,0.0
JNJ,2024,Healthcare,0.6,100000,103902.01419737842,0.03902014197378419,0.00047181958168074876,0.03854832239210344,-0.006394144659033164,6.071120503489693,5,5,0.8
JNJ,2024,Healthcare,0.65,100000,107667.4601775303,0.07667460177530301,0.00047181958168074876,0.07620278219362227,-0.00514522531331217,8.488318700302576,4,4,1.0
JNJ,2024,Healthcare,0.7,100000,105522.3176697193,0.055223176697192976,0.00047181958168074876,0.054751357115512225,-0.005145225313312282,6.863339020880545,3,3,1.0
JNJ,2024,Healthcare,0.75,100000,99440.0797336547,-0.005599202663453034,0.00047181958168074876,-0.006071022245133783,-0.006394144659033169,-1.8783644841679668,1,1,0.0
JNJ,2024,Healthcare,0.8,100000,99598.35106232742,-0.004016489376725804,0.00047181958168074876,-0.004488308958406553,-0.004185936510509476,-1.9188268272312246,1,1,0.0
JNJ,2024,Healthcare,0.85,100000,100000.0,0.0,0.00047181958168074876,-0.00047181958168074876,0.0,0.0,0,0,0.0
UNH,2024,Healthcare,0.6,100000,105721.22913297257,0.057212291329725704,0.09437023262787834,-0.03715794129815264,-0.008174469831095049,7.4122292239016785,6,6,0.8333333333333334
UNH,2024,Healthcare,0.65,100000,107391.0729146095,0.07391072914609496,0.09437023262787834,-0.02045950348178338,-0.008174469831095236,7.310444717709667,5,5,0.8
UNH,2024,Healthcare,0.7,100000,103355.88624843571,0.033558862484357084,0.09437023262787834,-0.06081137014352126,-0.00817446983109517,4.199811655957345,3,3,0.6666666666666666
UNH,2024,Healthcare,0.75,100000,99184.14832519568,-0.008158516748043184,0.09437023262787834,-0.10252874937592153,-0.008174469831095075,-2.9818917427978717,1,1,0.0
UNH,2024,Healthcare,0.8,100000,99267.34905065547,-0.007326509493445338,0.09437023262787834,-0.10169674212132368,-0.007326509493445338,-2.8691284058017734,1,1,0.0
UNH,2024,Healthcare,0.85,100000,100000.0,0.0,0.09437023262787834,-0.09437023262787834,0.0,0.0,0,0,0.0
JPM,2024,Finance,0.6,100000,107470.41355941424,0.07470413559414242,0.14946592949158025,-0.07476179389743783,-0.0035895946319611906,7.427893678593214,8,7,0.7142857142857143
JPM,2024,Finance,0.65,100000,110518.95587016147,0.10518955870161473,0.14946592949158025,-0.04427637078996552,-0.0035895946319611976,9.108923082456856,8,7,0.7142857142857143
