config,final_value,total_return,volatility,sharpe,max_drawdown,win_rate
"{'bullish': 0.95, 'neutral': 0.65, 'bearish': 0.55}",95953.29156649359,-4.046708433506414,0.6774283082368945,-0.3371237313927589,-12.5619247010548,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.75, 'bearish': 0.25}",97178.88432691833,-2.821115673081673,0.6260927182704448,-0.24334720921915434,-10.963388029281342,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.75, 'bearish': 0.35}",96531.7063836465,-3.468293616353505,0.6498558810917906,-0.29665824322338996,-11.716341528247842,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.75, 'bearish': 0.45}",96129.0314585998,-3.8709685414002015,0.6670302948364126,-0.3264812657161205,-12.243465063472929,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.75, 'bearish': 0.55}",95905.09250059565,-4.094907499404347,0.6790932442067549,-0.34077346703808303,-12.605909454478258,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.85, 'bearish': 0.25}",96928.57643022519,-3.071423569774808,0.6339264180923964,-0.2651897855809582,-11.192787572597807,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.85, 'bearish': 0.35}",96379.44870257366,-3.6205512974263403,0.654837046297885,-0.3090643004808943,-11.855653290438315,27.016129032258064
"{'bullish': 0.95, 'neutral': 0.85, 'bearish': 0.45}",96040.79116042762,-3.959208839572384,0.6700088453238517,-0.333341029231306,-12.324083182906309,26.61290322580645
"{'bullish': 0.95, 'neutral': 0.85, 'bearish': 0.55}",95856.89336506989,-4.1431066349301116,0.680763342011546,-0.34440350041420903,-12.649894207901708,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.55, 'bearish': 0.25}",97729.3216489841,-2.2706783510159,0.6120072543990479,-0.19201225020036428,-10.547956121092746,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.55, 'bearish': 0.35}",96885.61357465405,-3.114386425345947,0.6411452623778241,-0.26547912965558357,-11.480633011925722,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.55, 'bearish': 0.45}",96354.63346607857,-3.6453665339214347,0.6621899366815508,-0.3069398511961871,-12.124831519268906,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.55, 'bearish': 0.55}",96050.45728641168,-3.949542713588322,0.6768123041656535,-0.3279326313438393,-12.560331507870467,27.016129032258064
"{'bullish': 1.0, 'neutral': 0.65, 'bearish': 0.25}",97478.84769297794,-2.5211523070220574,0.6195390467329652,-0.2150553741941505,-10.777244503280231,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.65, 'bearish': 0.35}",96733.2398620896,-3.266760137910402,0.6460172274061803,-0.2783253784185097,-11.619877267213035,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.65, 'bearish': 0.45}",96266.3097918057,-3.733690208194297,0.6651301340543915,-0.31395331758287465,-12.205410573231399,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.65, 'bearish': 0.55}",96002.19518865107,-3.997804811348935,0.6784694114685567,-0.33161512005230387,-12.604294947411713,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.75, 'bearish': 0.25}",97228.37357662254,-2.771626423377456,0.6272172601192817,-0.23751588888722963,-11.006532885467715,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.75, 'bearish': 0.35}",96580.86605197028,-3.419133948029717,0.6509402057183927,-0.29096567046915367,-11.759121522500319,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.75, 'bearish': 0.45}",96177.9860609769,-3.8220139390231047,0.6680872476942774,-0.32089977024437366,-12.285989627193894,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.75, 'bearish': 0.55}",95953.93305997785,-4.046066940022152,0.6801317203702761,-0.3352778613316689,-12.64825838695296,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.85, 'bearish': 0.25}",96977.89929991774,-3.022100700082257,0.6350372736563155,-0.2594013928437984,-11.235821267655172,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.85, 'bearish': 0.35}",96428.49214429613,-3.5715078557038646,0.6559131896748222,-0.3034021867251037,-11.898365777787616,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.85, 'bearish': 0.45}",96089.66227359195,-3.910337726408048,0.6710610779387643,-0.32777967271788255,-12.366568681156432,26.61290322580645
"{'bullish': 1.0, 'neutral': 0.85, 'bearish': 0.55}",95905.6709003923,-4.094329099607698,0.6817991959782759,-0.33892093406922225,-12.692221826494194,26.61290322580645
