,Total_Return,Total_Return,Outperformance,Sharpe_Ratio,Trades_Executed
,mean,std,mean,mean,mean
Threshold,,,,,
0.6,0.0522,0.0204,-0.0322,5.8064,5.1818
0.65,0.0741,0.0255,-0.0103,6.7475,4.9091
0.7,0.0526,0.0184,-0.0318,5.1771,3.8182
0.75,0.0168,0.0189,-0.0676,1.4089,2.0909
0.8,-0.0037,0.0039,-0.0881,-1.1707,1.3636
0.85,-0.003,0.0059,-0.0874,-0.7867,1.0909
