entry_time,exit_time,entry_price,exit_price,position_type,shares,pnl,return_pct,prediction,won,date,cumulative_pnl
2024-07-01 11:01:00+00:00,2024-07-01 12:13:00+00:00,545.18,545.34,Short,5,-0.9000000000004093,-0.029348105212972205,-0.03027731491807815,False,2024-07-01,-0.9000000000004093
2024-07-01 12:13:00+00:00,2024-07-01 13:15:00+00:00,545.34,544.84,Long,5,-2.6,-0.09168592071001577,0.03516940766554164,False,2024-07-01,-3.5000000000004095
2024-07-01 13:15:00+00:00,2024-07-01 14:15:00+00:00,544.84,542.92,Long,7,-13.58000000000051,-0.3523970339916439,0.04292458674385262,False,2024-07-01,-17.08000000000092
2024-07-01 14:15:00+00:00,2024-07-01 15:15:00+00:00,542.92,543.85,Short,11,-10.450000000000701,-0.1712959552051985,-0.09138250820540485,False,2024-07-01,-27.53000000000162
2024-07-01 15:15:00+00:00,2024-07-01 16:15:00+00:00,543.85,544.95,Long,5,5.400000000000114,0.2022616530293321,0.03297713230447739,True,2024-07-01,-22.13000000000151
2024-07-02 09:47:00+00:00,2024-07-02 11:41:00+00:00,543.25,542.97,Long,5,-1.4999999999998637,-0.051541647491941595,0.033783298531591066,False,2024-07-02,-23.630000000001374
2024-07-02 11:42:00+00:00,2024-07-02 12:44:00+00:00,542.91,543.02,Long,5,0.4500000000000682,0.020261185095137985,0.03522558777464717,True,2024-07-02,-23.180000000001307
2024-07-02 12:51:00+00:00,2024-07-02 13:51:00+00:00,542.97,545.26,Long,7,15.889999999999745,0.4217544247380083,0.039522044923599634,True,2024-07-02,-7.290000000001562
2024-07-02 13:51:00+00:00,2024-07-02 14:51:00+00:00,545.26,545.63,Short,10,-3.9000000000000457,-0.06785753585445559,-0.06211788692425195,False,2024-07-02,-11.190000000001607
2024-07-02 14:52:00+00:00,2024-07-02 15:52:00+00:00,545.6,546.24,Long,5,3.0999999999999317,0.11730205278592123,0.034079836222672015,True,2024-07-02,-8.090000000001675
2024-07-03 10:50:00+00:00,2024-07-03 12:13:00+00:00,549.36,548.7097,Long,5,-3.3515000000000783,-0.11837410805300998,0.03263260866536389,False,2024-07-03,-11.441500000001753
2024-07-03 12:13:00+00:00,2024-07-03 13:15:00+00:00,548.7097,548.45,Long,9,-2.517299999999573,-0.047329216159282865,0.054956604407657844,False,2024-07-03,-13.958800000001325
2024-07-03 13:15:00+00:00,2024-07-03 14:15:00+00:00,548.45,549.8099,Long,7,9.379299999999475,0.24795332300117148,0.0373915577219048,True,2024-07-03,-4.57950000000185
2024-07-03 14:15:00+00:00,2024-07-03 15:15:00+00:00,549.8099,550.295,Long,5,2.3254999999999426,0.08823049566768233,0.03399839838784176,True,2024-07-03,-2.254000000001908
2024-07-03 15:25:00+00:00,2024-07-03 16:25:00+00:00,550.16,550.995,Long,5,4.075000000000182,0.15177402937327986,0.03545046673661688,True,2024-07-03,1.8209999999982744
2024-07-05 11:14:00+00:00,2024-07-05 12:23:00+00:00,551.58,551.59,Long,9,-0.09000000000008186,0.0018129736393616344,0.055195147382068085,True,2024-07-05,1.7309999999981927
2024-07-05 12:23:00+00:00,2024-07-05 13:24:00+00:00,551.59,551.69,Long,5,0.40000000000011365,0.018129407712254162,0.036989604407833984,True,2024-07-05,2.1309999999983065
2024-07-05 13:34:00+00:00,2024-07-05 14:34:00+00:00,551.98,552.2503,Long,5,1.2515000000001009,0.04896916554948009,0.03240775494174602,True,2024-07-05,3.3824999999984073
2024-07-05 14:39:00+00:00,2024-07-05 15:39:00+00:00,552.24,553.11,Long,5,4.250000000000023,0.1575401999130821,0.03226201640999894,True,2024-07-05,7.63249999999843
2024-07-08 10:45:00+00:00,2024-07-08 12:17:00+00:00,554.49,554.99,Long,5,2.4,0.09017295172140165,0.03232995481583028,True,2024-07-08,10.03249999999843
2024-07-08 12:27:00+00:00,2024-07-08 13:28:00+00:00,555.0,555.38,Long,9,3.239999999999959,0.06846846846846766,0.04505342388542436,True,2024-07-08,13.27249999999839
2024-07-08 13:36:00+00:00,2024-07-08 14:36:00+00:00,555.7199,555.0099,Long,5,-3.650000000000182,-0.12776220538440972,0.035531904571447136,False,2024-07-08,9.622499999998208
2024-07-08 14:52:00+00:00,2024-07-08 15:52:00+00:00,555.06,554.99,Long,9,-0.8099999999994271,-0.012611249234305543,0.054905026055732005,False,2024-07-08,8.812499999998781
2024-07-09 11:12:00+00:00,2024-07-09 12:31:00+00:00,556.41,556.17,Long,5,-1.3000000000000456,-0.0431336604302599,0.03396842714979663,False,2024-07-09,7.512499999998736
2024-07-09 12:34:00+00:00,2024-07-09 13:38:00+00:00,556.1213,556.44,Long,5,1.4935000000001764,0.05730764133652771,0.03680041607980156,True,2024-07-09,9.005999999998913
2024-07-09 13:40:00+00:00,2024-07-09 14:40:00+00:00,556.32,556.44,Long,7,0.7000000000000318,0.021570319240725576,0.04039492848883604,True,2024-07-09,9.705999999998944
