Date,Actual_Price,Signal,Shares_Held,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2025-01-06,585.0792846679688,HOLD,0.0,100015.0,100015.0,15.0,0.015
2025-01-07,588.4497680664062,HOLD,0.0,100030.00225,100030.00225,15.002250000005006,0.030002250000005004
2025-01-08,581.7979125976562,SELL,0.0,100045.0067503375,100045.0067503375,15.00450033749803,0.04500675033750304
2025-01-10,582.6478881835938,HOLD,0.0,100060.01350135005,100060.01350135005,15.006751012551831,0.06001350135005487
2025-01-13,573.7523193359375,SELL,0.0,100075.02250337525,100075.02250337525,15.009002025195514,0.07502250337525038
2025-01-14,574.6419067382812,SELL,0.0,100090.03375675075,100090.03375675075,15.011253375501838,0.09003375675075222
2025-01-15,575.4325561523438,SELL,0.0,100105.04726181427,100105.04726181427,15.013505063514458,0.10504726181426668
2025-01-16,585.8997192382812,HOLD,0.0,100120.06301890354,100120.06301890354,15.015757089277031,0.1200630189035437
2025-01-17,584.7728881835938,SELL,0.0,100135.08102835638,100135.08102835638,15.018009452833212,0.13508102835637692
2025-01-21,590.64404296875,HOLD,0.0,100150.10129051063,100150.10129051063,15.02026215425576,0.15010129051063267
2025-01-22,596.0504150390625,HOLD,0.0,100165.1238057042,100165.1238057042,15.022515193573781,0.16512380570420646
2025-01-23,599.4011840820312,BUY,116.0,30649.61122075944,100180.14857427507,15.024768570860033,0.1801485742750665
2025-01-24,602.6727294921875,BUY,161.0,3533.9358352941163,100564.24528353631,384.0967092612409,0.5642452835363074
2025-01-27,600.913330078125,BUY,165.0,1130.8126053569104,100281.51206824754,-282.7332152887684,0.281512068247539
2025-01-28,592.4132080078125,HOLD,165.0,1130.9822272477138,98879.16154853678,-1402.3505197107588,-1.1208384514632197
2025-01-29,597.50341796875,BUY,166.0,533.6484566130509,99719.21583942555,840.0542908887728,-0.280784160574447
2025-01-30,594.8248291015625,HOLD,166.0,533.7285038815429,99274.65013474092,-444.5657046846318,-0.7253498652590787
2025-01-31,598.0173950195312,BUY,166.0,533.8085631571251,99804.69613639932,530.0460016583966,-0.19530386360068222
2025-02-03,594.8347778320312,HOLD,166.0,533.8886344415987,99276.46175455878,-528.2343818405352,-0.7235382454412175
2025-02-04,590.831787109375,HOLD,166.0,533.9687177367649,98612.04537789301,-664.416376665773,-1.3879546221069905
2025-02-05,594.7952270507812,BUY,166.0,534.0488130444254,99270.05650347412,658.0111255811062,-0.7299434965258843
2025-02-06,597.2069091796875,BUY,166.0,534.1289203663821,99670.4758441945,400.41934072038566,-0.3295241558054986
2025-02-07,599.2825317382812,HOLD,166.0,534.209039704437,100015.10930825913,344.6334640646237,0.015109308259125102
2025-02-10,593.7969970703125,HOLD,166.0,534.2891710603927,99104.59068473226,-910.5186235268629,-0.8954093152677379
2025-02-11,597.82958984375,HOLD,166.0,534.3693144360518,99774.08122849856,669.4905437662965,-0.22591877150144138
2025-02-12,598.2843017578125,HOLD,166.0,534.4494698332172,99849.64356163009,75.56233313152916,-0.15035643836991222
2025-02-13,596.3568725585938,HOLD,166.0,534.5296372536922,99529.77048198026,-319.87307964982756,-0.4702295180197397
2025-02-14,602.6529541015625,HOLD,166.0,534.6098166992803,100575.00019755865,1045.229715578389,0.5750001975586492
2025-02-18,602.6232299804688,BUY,166.0,534.6900081717852,100570.1461849296,-4.854012629046338,0.5701461849296029
2025-02-19,604.3925170898438,BUY,166.0,534.770211673011,100863.92804858707,293.7818636574666,0.8639280485870695
2025-02-20,605.8157958984375,BUY,166.0,534.8504272047619,101100.27254634538,236.34449775831308,1.1002725463453826
2025-02-21,603.29541015625,HOLD,166.0,534.9306547688426,100681.96874070635,-418.303805639036,0.6819687407063466
2025-02-24,592.9766235351562,SELL,166.0,535.010894367058,98969.130401203,-1712.8383395033452,-1.0308695987969987
2025-02-25,590.2781982421875,SELL,166.0,535.091146001213,98521.27205420434,-447.85834699866246,-1.478727945795661
2025-02-26,587.3427734375,SELL,166.0,535.1714096731132,98034.07180029812,-487.2002539062232,-1.9659281997018843
2025-02-27,587.63916015625,SELL,166.0,535.2516853845642,98083.35227132206,49.28047102394339,-1.916647728677941
2025-02-28,578.2593994140625,SELL,166.0,535.3319731373718,96526.39227587175,-1556.9599954503065,-3.473607724128247
2025-03-03,587.283447265625,BUY,166.0,535.4122729333425,98024.4645190271,1498.072243155344,-1.9755354809729033
2025-03-04,576.9942626953125,HOLD,166.0,535.4925847742825,96316.54019219616,-1707.9243268309365,-3.68345980780384
2025-03-05,570.1644897460938,SELL,166.0,535.5729086619987,95182.87820651356,-1133.6619856826,-4.817121793486439
2025-03-06,576.29248046875,HOLD,166.0,535.653244598298,96200.2050024108,1017.3267958972428,-3.799794997589197
2025-03-07,566.0626220703125,SELL,166.0,535.7335925849877,94502.12885625687,-1698.0761461539369,-5.497871143743134
2025-03-10,569.2353515625,HOLD,166.0,535.8139526238755,95028.88231199888,526.7534557420149,-4.971117688001119
2025-03-11,554.073486328125,SELL,166.0,535.894324716769,92512.09305518551,-2516.7892568133684,-7.487906944814488
2025-03-12,549.4674682617188,SELL,166.0,535.9747088654765,91747.57444031078,-764.5186148747307,-8.252425559689218
2025-03-13,552.38330078125,SELL,166.0,536.0551050718063,92231.6830347593,484.10859444852395,-7.768316965240694
2025-03-14,545.019775390625,SELL,166.0,536.1355133375671,91009.41822818131,-1222.264806577994,-8.990581771818688
2025-03-17,556.2775268554688,HOLD,166.0,536.2159336645677,92878.28539167238,1868.8671634910716,-7.1217146083276175
2025-03-18,560.5671997070312,HOLD,166.0,536.2963660546175,93590.45151742181,712.166125749427,-6.40954848257819
2025-03-19,554.50830078125,HOLD,166.0,536.3768105095256,92584.75474019702,-1005.6967772247881,-7.415245259802977
