Date,Close_x,Actual_Price,Actual_Change,Predicted_Change,Predicted_Price,Predicted_Change_Pct,Price_Error,Abs_Price_Error,Confidence,Direction_Correct,Signal,Confidence_Score,YearMonth,SMA_20,SMA_50,SMA_200,Momentum_10,Volatility_20,Close_y,Close,Regime,Regime_Multiplier,Adjusted_Position_Size,Portfolio_Value,Daily_Return,Trade_Size_%,Shares_Held,Cash,Drop_Probability
2025-01-06,585.0792846679688,585.0792846679688,7.22515869140625,13.372161919287555,571.7071227486812,2.2855298879494987,-13.372161919287578,13.372161919287578,0.5039261776384553,1,HOLD,0.5039261776384553,2025-01,590.2119995117188,584.6988757324219,544.7715525817871,10.91839599609375,7.382597331349134,588.4497680664062,585.0792846679688,neutral,0.55,0.275,100000.0,0.0,0.0,0,100000.0,0.19855121119899297
2025-01-07,588.4497680664062,588.4497680664062,3.3704833984375,11.095698344869014,577.3540697215373,1.8855812249409996,-11.095698344868993,11.095698344868993,0.5883772928466697,1,HOLD,0.5883772928466697,2025-01,589.4215362548828,584.9475329589844,545.1330337524414,4.4439697265625,7.395459767296886,581.7979125976562,588.4497680664062,neutral,0.55,0.275,100000.0,0.0,0.0,0,100000.0,0.14988550633219355
2025-01-08,581.7979125976562,581.7979125976562,-6.65185546875,13.441892448393236,568.356020149263,2.3104057538427454,-13.441892448393219,13.441892448393219,0.5013393490973774,0,SELL,0.5013393490973774,2025-01,588.6169281005859,585.1885632324219,545.4903460693359,-1.6407470703125,7.201108754909584,582.6478881835938,581.7979125976562,neutral,0.55,0.275,100000.0,0.0,0.0,0,100000.0,0.05864035209827151
2025-01-10,582.6478881835938,582.6478881835938,0.8499755859375,11.859871996343148,570.7880161872506,2.035512740519206,-11.859871996343145,11.859871996343145,0.5600283582074638,1,HOLD,0.5600283582074638,2025-01,587.5217102050781,585.2556225585937,545.8080261230468,-14.03521728515625,7.72103026811655,573.7523193359375,582.6478881835938,neutral,0.55,0.275,100000.0,0.0,0.0,0,100000.0,0.2349060128455188
2025-01-13,573.7523193359375,573.7523193359375,-8.89556884765625,25.885620304864283,547.8666990310733,4.511636717185627,-25.885620304864233,25.885620304864233,0.03970811254447115,0,SELL,0.03970811254447115,2025-01,586.5635620117188,585.305205078125,546.1372021484375,-19.67889404296875,8.080913618031984,574.6419067382812,573.7523193359375,neutral,0.55,0.11000000000000001,100000.0,0.0,0.0,0,100000.0,0.23311821597160473
2025-01-14,574.6419067382812,574.6419067382812,0.88958740234375,23.16289919579242,551.4790075424888,4.030840585098832,-23.16289919579242,23.16289919579242,0.1407142681649438,1,SELL,0.1407142681649438,2025-01,585.4154235839844,585.3520837402343,546.4750305175781,-18.92779541015625,7.941451475173803,575.4325561523438,574.6419067382812,neutral,0.55,0.11000000000000001,100000.0,0.0,0.0,0,100000.0,0.0012946391814970624
2025-01-15,575.4325561523438,575.4325561523438,0.7906494140625,23.089330643842462,552.3432255085013,4.012517261489398,-23.08933064384246,23.08933064384246,0.14344347777156552,1,SELL,0.14344347777156552,2025-01,584.9448089599609,585.6429797363281,546.8438540649414,-2.20404052734375,7.595458830958636,585.8997192382812,575.4325561523438,neutral,0.55,0.11000000000000001,100000.0,0.0,0.0,0,100000.0,0.0021545827519104856
2025-01-16,585.8997192382812,585.8997192382812,10.4671630859375,13.298257164770321,572.6014620735109,2.269715572156131,-13.298257164770348,13.298257164770348,0.5066678595209617,1,HOLD,0.5066678595209617,2025-01,584.4237609863281,586.1353442382813,547.2075326538086,3.38031005859375,7.202652453461518,584.7728881835938,585.8997192382812,neutral,0.55,0.275,100000.0,0.0,0.0,0,100000.0,0.449949384543566
2025-01-17,584.7728881835938,584.7728881835938,-1.1268310546875,14.51146928967076,570.261418893923,2.481556444031786,-14.5114692896708,14.5114692896708,0.4616607185838886,0,SELL,0.4616607185838886,2025-01,584.0691986083984,586.6978491210938,547.6050216674805,12.7899169921875,6.667543714712346,590.64404296875,584.7728881835938,neutral,0.55,0.11000000000000001,100000.0,0.0,0.0,0,100000.0,0.008165550105836025
2025-01-21,590.64404296875,590.64404296875,5.87115478515625,13.239941892824515,577.4041010759255,2.241611009276702,-13.239941892824504,13.239941892824504,0.5088312105206607,1,HOLD,0.5088312105206607,2025-01,584.1080902099609,587.3927160644531,548.0457919311524,10.97113037109375,6.738226061213577,596.0504150390625,590.64404296875,neutral,0.55,0.275,100000.0,0.0,0.0,0,100000.0,0.003200791630144173
