Date,Close,Actual_Price,Actual_Change,Predicted_Change,Predicted_Price,Predicted_Change_Pct,Price_Error,Abs_Price_Error,Confidence,Direction_Correct,Signal,Confidence_Score,YearMonth
2025-01-06,585.0792846679688,585.0792846679688,7.22515869140625,13.372161919287555,571.7071227486812,2.2855298879494987,-13.372161919287578,13.372161919287578,0.5039261776384553,1,HOLD,0.5039261776384553,2025-01
2025-01-07,588.4497680664062,588.4497680664062,3.3704833984375,11.095698344869014,577.3540697215373,1.8855812249409996,-11.095698344868993,11.095698344868993,0.5883772928466697,1,HOLD,0.5883772928466697,2025-01
2025-01-08,581.7979125976562,581.7979125976562,-6.65185546875,13.441892448393236,568.356020149263,2.3104057538427454,-13.441892448393219,13.441892448393219,0.5013393490973774,0,SELL,0.5013393490973774,2025-01
2025-01-10,582.6478881835938,582.6478881835938,0.8499755859375,11.859871996343148,570.7880161872506,2.035512740519206,-11.859871996343145,11.859871996343145,0.5600283582074638,1,HOLD,0.5600283582074638,2025-01
2025-01-13,573.7523193359375,573.7523193359375,-8.89556884765625,25.885620304864283,547.8666990310733,4.511636717185627,-25.885620304864233,25.885620304864233,0.03970811254447115,0,SELL,0.03970811254447115,2025-01
2025-01-14,574.6419067382812,574.6419067382812,0.88958740234375,23.16289919579242,551.4790075424888,4.030840585098832,-23.16289919579242,23.16289919579242,0.1407142681649438,1,SELL,0.1407142681649438,2025-01
2025-01-15,575.4325561523438,575.4325561523438,0.7906494140625,23.089330643842462,552.3432255085013,4.012517261489398,-23.08933064384246,23.08933064384246,0.14344347777156552,1,SELL,0.14344347777156552,2025-01
2025-01-16,585.8997192382812,585.8997192382812,10.4671630859375,13.298257164770321,572.6014620735109,2.269715572156131,-13.298257164770348,13.298257164770348,0.5066678595209617,1,HOLD,0.5066678595209617,2025-01
2025-01-17,584.7728881835938,584.7728881835938,-1.1268310546875,14.51146928967076,570.261418893923,2.481556444031786,-14.5114692896708,14.5114692896708,0.4616607185838886,0,SELL,0.4616607185838886,2025-01
2025-01-21,590.64404296875,590.64404296875,5.87115478515625,13.239941892824515,577.4041010759255,2.241611009276702,-13.239941892824504,13.239941892824504,0.5088312105206607,1,HOLD,0.5088312105206607,2025-01
