entry_idx,exit_idx,entry_price,exit_price,position,pnl,return_pct,prediction,correct
2059,2119,551.58,551.59,7,-0.07000000000006366,-0.0018129736393649326,0.055195147382068085,True
2119,2179,551.59,551.69,5,0.40000000000011365,0.014503526169804153,0.036989604407833984,True
2243,2303,552.12,552.9549,5,4.074499999999739,0.14759472578424038,0.04084914123363318,True
2437,2497,554.33,554.065,-5,1.224999999999932,0.04419749968430112,-0.03656247557774044,True
2581,2641,554.32,554.08,5,-1.3000000000000456,-0.04690431519699976,0.03594735338042073,False
2641,2701,554.08,554.4,9,2.699999999999427,0.05414380594858799,0.11209383627336277,True
2806,2866,553.88,555.38,9,13.32,0.2672058929732072,0.09340281806761354,True
2894,2954,555.7199,555.0099,5,-3.650000000000182,-0.13136114074735067,0.035531904571447136,False
2970,3030,555.06,554.99,7,-0.6299999999995544,-0.01621446330125326,0.054905026055732005,False
3047,3107,554.35,554.62,5,1.2499999999999092,0.0450978623613208,0.040631608313141006,True
3200,3260,554.52,554.79,-7,-2.029999999999873,-0.05229748250739051,-0.05224224751949776,False
3280,3340,555.36,555.49,5,0.5499999999999773,0.019806972054162247,0.035531904571447136,True
3353,3413,555.39,556.05,5,3.1999999999998407,0.11523433983326459,0.0373915577219048,True
3418,3478,556.18,556.62,-5,-2.300000000000273,-0.08270703729009576,-0.036515190681993215,False
3500,3560,556.41,556.15,5,-1.3999999999999546,-0.050322603835299684,0.03871892652789798,False
3561,3621,556.1213,556.44,5,1.4935000000001764,0.053711303631066694,0.03680041607980156,True
3623,3683,556.32,556.44,5,0.5000000000000228,0.01797526603393812,0.04039492848883604,True
3689,3749,556.79,556.26,7,-3.849999999999809,-0.0987805097074252,0.04423097314198446,False
3831,3891,557.0597,555.955,7,-7.872899999999859,-0.20189936554376123,0.05299580196137826,False
3906,3966,555.92,555.55,5,-1.9500000000000228,-0.07015397898978352,0.03522558777464717,False
3973,4033,555.6,555.93,7,2.1699999999994906,0.05579553635707833,0.04387292171038844,True
4044,4104,555.9503,556.0,9,0.2673000000002685,0.005342204150268438,0.060273970119369295,True
4219,4279,557.18,557.18,-5,-0.1,-0.0035895042894576266,-0.03879417985854607,False
4286,4346,557.13,557.285,5,0.6749999999998636,0.024231328415266224,0.03578477181811162,True
4441,4501,557.69,558.76,5,5.249999999999682,0.18827664114471054,0.041036902475589186,True
4501,4561,558.76,559.34,5,2.8000000000002045,0.10022191996564551,0.03545046673661688,True
4696,4756,560.98,561.11,8,0.8799999999999636,0.0196085421940168,0.06180040029833244,True
