ticker,accuracy,edge,p_value,significant,strategy_return,bh_return,alpha,trades,win_rate
SPY,0.6095931997571342,10.959319975713422,0.0,True,10.643707466726973,166.16941186898563,-155.52570440225867,68,55.88235294117647
ETH-USD,0.60580204778157,10.580204778156999,1.5084131843590143e-07,True,4.387786148123777,-20.862886604584148,25.250672752707924,21,61.904761904761905
QQQ,0.5792227204783259,7.922272047832591,3.4013236671626146e-09,True,27.584719414812554,121.41532241268713,-93.83060299787458,54,64.81481481481481
MSFT,0.5553884711779449,5.538847117794488,3.7509412509351137e-07,True,45.310730161346704,487.30189649429167,-441.99116633294494,67,62.68656716417911
BTC-USD,0.5030674846625767,0.30674846625766694,0.43048388668797133,False,-6.71875844233171,217.24858797906342,-223.96734642139512,33,66.66666666666666
AAPL,0.4504424778761062,-4.95575221238938,1.2272371409105531e-06,False,-20.113748935774613,915.5151143904801,-935.6288633262548,81,45.67901234567901
