Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Signal,P&L,P&L%,Win
2024-09-05,2024-09-12,539.7529907226562,549.06298828125,166,0.5225394680247153,1364.7161422119243,1.524862616532974,True
2024-09-16,2024-09-23,552.7457275390625,561.1691284179688,164,0.5272855665247113,1198.7557077636739,1.3239196721445359,True
2024-09-23,2024-09-30,561.1691284179688,565.1981811523438,164,0.5393765717644139,476.04040966798493,0.5179747655993829,True
2024-09-30,2024-10-07,565.1981811523438,559.3270263671875,163,0.5223758838485016,-1140.2958388061525,-1.2387780748313701,False
2024-10-07,2024-10-14,559.3270263671875,575.6005249023438,163,0.5329735839446642,2467.587070373542,2.7094783137607603,True
2024-10-17,2024-10-24,573.659912109375,570.596435546875,163,0.5312626212105409,-685.8604643554572,-0.7340231202901168,False
2024-10-24,2024-10-31,570.596435546875,560.1546020507812,163,0.5493474225949696,-1886.3312789916818,-2.029985756235231,False
2024-10-31,2024-11-07,560.1546020507812,586.72216796875,163,0.5427545034859309,4143.57233111572,4.542898803420026,True
2024-11-07,2024-11-14,586.72216796875,584.495849609375,162,0.5682888902900772,-550.4008930663986,-0.579450186292185,False
2024-11-14,2024-11-21,584.495849609375,584.81103515625,162,0.5972711009330348,-138.36765673827904,-0.14607565698103714,False
2024-11-21,2024-11-29,584.81103515625,593.5585327148438,161,0.5578293741931056,1218.6296065063507,1.2957818906848442,True
2024-11-29,2024-12-06,593.5585327148438,598.7400512695312,161,0.544409065183631,642.2644152832072,0.6729583131402486,True
2024-12-06,2024-12-13,598.7400512695312,595.1937866210938,160,0.5444777871723985,-758.4317578124901,-0.7922878619725291,False
2024-12-13,2024-12-20,595.1937866210938,584.2886352539062,160,0.5800943569410671,-1933.5414062499767,-2.032201815999435,False
2024-12-20,2024-12-30,584.2886352539062,581.392578125,160,0.5866450788831336,-649.8781347656186,-0.6956552214382403,False
2024-12-30,2025-01-07,581.392578125,581.7979125976562,160,0.5639083345631892,-121.25696289060579,-0.13028213845394082,False
2025-01-07,2025-01-15,581.7979125976562,585.8997802734375,160,0.5340476425975327,469.46719726563606,0.505033068521499,True
2025-01-16,2025-01-24,584.77294921875,600.913330078125,160,0.5315791874504076,2392.751132812511,2.560110720056108,True
2025-01-24,2025-01-31,600.913330078125,594.834716796875,159,0.5596578296918924,-1156.6234511718649,-1.2115623962709707,False
2025-01-31,2025-02-07,594.834716796875,593.7969360351562,159,0.5462979704608462,-353.9995739135629,-0.37446539894427905,False
2025-02-07,2025-02-14,593.7969360351562,602.623291015625,158,0.5326742663394832,1205.5296910400502,1.2864264944516537,True
2025-02-14,2025-02-24,602.623291015625,590.2782592773438,158,0.5412358732539749,-2138.9934595947125,-2.248548723942556,False
2025-02-24,2025-03-03,590.2782592773438,576.9942626953125,158,0.5316435127100776,-2283.300518432603,-2.4504634675677095,False
2025-03-03,2025-03-10,576.9942626953125,554.073486328125,158,0.5291024251015203,-3800.19137036131,-4.17244441567195,False
2025-03-10,2025-03-17,554.073486328125,560.5671997070312,158,0.5508956996688054,849.8934854736435,0.9719949680213837,True
2025-03-17,2025-03-24,560.5671997070312,569.1236572265625,158,0.5514629517975442,1173.429132690435,1.326392825695666,True
2025-03-24,2025-03-31,569.1236572265625,554.5604858398438,157,0.5259824019624271,-2462.8363181762543,-2.7588764764563845,False
2025-03-31,2025-04-07,554.5604858398438,500.025390625,158,0.5263113448007987,-8783.169612426747,-10.033930943033942,False
2025-04-07,2025-04-14,500.025390625,534.4654541015625,159,0.6233390958295051,5311.486048461928,6.6876629311792835,True
2025-04-14,2025-04-22,534.4654541015625,522.697998046875,158,0.5411169011857774,-2026.289882080062,-2.4017243517578946,False
2025-04-22,2025-04-29,522.697998046875,549.5342407226562,158,0.5941982330351304,4070.713649047859,4.93417743631277,True
2025-04-29,2025-05-06,549.5342407226562,553.9755249023438,157,0.5304891054802214,524.0305830078141,0.6081906186313548,True
2025-05-06,2025-05-13,553.9755249023438,581.7735595703125,156,0.5784942527059469,4159.316551025404,4.8179174743990805,True
2025-05-13,2025-05-20,581.7735595703125,587.7315673828125,155,0.5466558448873373,742.2179162597749,0.824111136453243,True
2025-05-20,2025-05-28,587.7315673828125,582.6558227539062,155,0.5415060052273926,-968.1504629516567,-1.0636161320224267,False
2025-05-28,2025-06-04,582.6558227539062,590.7849731445312,155,0.5584204497692262,1078.1349871826242,1.195189076151815,True
2025-06-04,2025-06-11,590.7849731445312,596.1681518554688,154,0.5496690508074306,646.2187402343843,0.7111908656519896,True
2025-06-11,2025-06-18,596.1681518554688,592.281982421875,154,0.5240813902499818,-781.4914134521387,-0.8518579399954038,False
2025-06-18,2025-06-26,592.281982421875,608.380615234375,154,0.5290695294140476,2294.287413085942,2.518068975637555,True
2025-06-26,2025-07-03,608.380615234375,621.7738037109375,153,0.5335358468828333,1860.9442108154326,2.001448918848747,True
2025-07-03,2025-07-11,621.7738037109375,620.0635986328125,152,0.5662315915498084,-448.71045703123673,-0.47505261043774266,False
2025-07-11,2025-07-18,620.0635986328125,624.0010375976562,152,0.5456715622738547,409.39289794921933,0.4350056628909417,True
2025-07-18,2025-07-25,624.0010375976562,633.4667358398438,152,0.5715737655795649,1247.6510312500031,1.3169362984762902,True
2025-07-25,2025-08-01,633.4667358398438,618.1743774414062,151,0.5396841632370384,-2498.1439262695203,-2.614074415156631,False
2025-08-01,2025-08-08,618.1743774414062,633.5462646484375,151,0.5791520889732039,2132.145151306162,2.2866587435497854,True
2025-08-08,2025-08-15,633.5462646484375,639.7706298828125,151,0.5506232523147535,747.6082993164164,0.7824641990161532,True
2025-08-15,2025-08-22,639.7706298828125,641.6299438476562,150,0.5610167379378429,86.68700866700965,0.0906219632470952,True
2025-08-22,2025-08-29,641.6299438476562,641.3713989257812,150,0.5644368961500247,-231.23193969724525,-0.24029502119626828,False
