Date,Actual_Price,Signal,Shares_Held,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2025-03-18,554.50830078125,1,90.0,50109.2529296875,100015.0,15.0,0.015
2025-03-19,560.54736328125,1,134.0,25452.685333251953,100566.03201293945,551.0320129394531,0.5660320129394532
2025-03-20,558.9264526367188,1,156.0,13160.121278044127,100352.64788937225,-213.38412356720073,0.3526478893722524
2025-03-21,559.1107788085938,-1,78.0,56772.73604330615,100383.37679037647,30.728901004215004,0.3833767903764674
2025-03-24,569.1236572265625,-1,39.0,78977.07458554857,101172.89721738451,789.520427008043,1.1728972173845105
2025-03-25,570.4917602539062,-1,20.0,89828.26459156063,101238.09979663875,65.20257925424085,1.2380997966387512
2025-03-26,563.6810913085938,-1,10.0,95478.5497443353,101115.36065742123,-122.73913921751955,1.1153606574212316
2025-03-27,562.18408203125,-1,5.0,98303.79193695319,101114.71234710944,-0.6483103117934661,1.1147123471094382
2025-03-28,550.8626708984375,-1,3.0,99420.26284754061,101072.85086023592,-41.8614868735167,1.0728508602359215
2025-03-31,554.5604248046875,-1,2.0,99989.73631177243,101098.8571613818,26.00630114588421,1.098857161381806
2025-04-01,556.1268310546875,-1,1.0,100560.86160327388,101116.98843432857,18.131272946760873,1.1169884343285668
2025-04-02,559.6461791992188,-1,1.0,100575.94573251437,101135.59191171359,18.603477385026054,1.1355919117135926
2025-04-03,532.0663452148438,-1,1.0,100591.03212437425,101123.0984695891,-12.49344212449796,1.1230984695890947
2025-04-04,500.9176330566406,1,101.0,50514.35747352884,101107.03841224955,-16.06005733954953,1.1070384122495451
2025-04-07,500.0254211425781,1,151.0,25520.663570020966,101024.50216255026,-82.53624969928933,1.024502162550256
2025-04-08,492.193603515625,1,176.0,13219.651581665843,99845.72580041585,-1178.7763621344056,-0.15427419958414976
2025-04-09,543.8834838867188,1,188.0,6695.0327227624675,108945.12769346559,9099.40189304974,8.94512769346559
2025-04-10,520.051025390625,-1,94.0,55580.83336438963,104465.62975110838,-4479.497942357208,4.465629751108383
2025-04-11,529.3302001953125,1,146.0,28064.000079238038,105346.20930775366,880.5795566452725,5.346209307753655
2025-04-14,534.4654541015625,-1,73.0,67084.18782866398,106100.16597807805,753.9566703243909,6.100165978078047
2025-04-15,532.9684448242188,-1,37.0,86281.11447051016,106000.94692900626,-99.21904907179123,6.000946929006255
2025-04-16,521.1216430664062,-1,19.0,95674.24621287605,105575.55743113777,-425.3894978684839,5.575557431137771
2025-04-17,521.8651733398438,0,19.0,95688.59734980798,105604.03564326502,28.47821212724375,5.604035643265015
2025-04-21,509.4433898925781,-1,10.0,100287.94114844366,105382.37504736944,-221.660595895577,5.382375047369438
2025-04-22,522.6979370117188,-1,5.0,102916.47402467452,105529.96370973311,147.58866236367612,5.5299637097331145
2025-04-23,530.79736328125,-1,3.0,103993.50622234071,105585.89831218446,55.934602451350656,5.585898312184464
2025-04-24,541.9700927734375,-1,2.0,104551.0753410475,105635.01552659438,49.11721440991096,5.635015526594376
2025-04-25,545.8860473632812,-1,1.0,105112.64404971193,105658.53009707521,23.5145704808383,5.658530097075214
2025-04-28,546.0941772460938,-1,1.0,105128.41094631939,105674.50512356548,15.975026490268647,5.674505123565483
2025-04-29,549.5342407226562,-1,1.0,105144.18020796134,105693.714448684,19.209325118514244,5.6937144486839975
2025-04-30,549.7523193359375,-1,1.0,105159.95183499253,105709.70415432847,15.98970564447518,5.709704154328472
2025-05-01,553.6483764648438,1,95.0,53132.77844007248,105729.37420423263,19.670049904161715,5.729374204232633
2025-05-02,561.8668823242188,1,142.0,26733.004887600204,106518.10217763926,788.7279734066251,6.51810217763926
2025-05-05,558.6448974609375,1,165.0,13888.182196731781,106064.59027778647,-453.5118998527905,6.064590277786468
2025-05-06,553.9755249023438,0,165.0,13890.26542406129,105296.22703294801,-768.3632448384597,5.296227032948009
2025-05-07,556.3052978515625,1,177.0,7216.68538965615,105682.72310938271,386.4960764347052,5.682723109382714
2025-05-08,560.1814575195312,-1,89.0,56513.736154183345,106369.88587342162,687.1627640389052,6.369885873421619
2025-05-09,559.4677734375,-1,45.0,81138.79524585648,106314.84505054398,-55.04082287763595,6.314845050543984
2025-05-12,577.9567260742188,1,115.0,40693.99523994805,107159.01873848321,844.1736879392265,7.159018738483209
2025-05-13,581.7734985351562,0,115.0,40700.099339234046,107604.05167077701,445.03293229380506,7.604051670777015
2025-05-14,582.5170288085938,0,115.0,40706.204354134934,107695.66266712322,91.61099634620768,7.695662667123222
2025-05-15,585.3622436523438,0,115.0,40712.31028478805,108028.96830480758,333.3056376843597,8.028968304807583
2025-05-16,589.0699462890625,0,115.0,40718.41713133077,108461.46095457295,432.49264976536506,8.461460954572948
2025-05-19,589.7142944335938,0,115.0,40724.52489390047,108541.66875376375,80.20779919080087,8.541668753763748
2025-05-20,587.7315673828125,-1,58.0,74231.33291345485,108319.76382165798,-221.90493210576824,8.31976382165798
2025-05-21,577.8277587890625,-1,29.0,90999.47261827468,107756.4776231575,-563.2861985004856,7.756477623157494
2025-05-22,578.0558471679688,-1,15.0,99105.90439951899,107776.74210703852,20.264483881022898,7.776742107038517
2025-05-23,574.1102294921875,-1,8.0,103139.54189162422,107732.42372756172,-44.31837947679742,7.73242372756172
2025-05-27,586.0462646484375,-1,4.0,105499.1978815017,107843.38294009546,110.95921253373672,7.843382940095456
2025-05-28,582.6558227539062,-1,2.0,106680.33440669175,107845.64605219956,2.2631121041049482,7.845646052199562
2025-05-29,584.9557495117188,-1,1.0,107281.29220636447,107866.24795587618,20.601903676622896,7.866247955876185
