Date,Predicted_Price,Actual_Price,Predicted_Change,Actual_Change,Predicted_Change_Pct,Signal,Signal_Strength,Mean_Reversion_Signal,Signal_Source
2025-03-18,579.6587122329627,554.50830078125,25.150411451712685,0.0,4.54,1,4.54,0.0,Model
2025-03-19,589.0996765833285,560.54736328125,28.55231330207847,6.0390625,5.15,1,5.15,0.0,Model
2025-03-20,581.0667511839879,558.9264526367188,22.14029854726919,-1.62091064453125,3.95,1,3.95,0.0,Model
2025-03-21,578.1372854629547,559.1107788085938,19.026506654360926,0.184326171875,3.4,-1,3.4,0.0,Model
2025-03-24,588.0317307280305,569.1236572265625,18.908073501468056,10.01287841796875,3.38,-1,3.38,0.0,Model
2025-03-25,588.4223983192494,570.4917602539062,17.93063806534317,1.36810302734375,3.15,-1,3.15,0.0,Model
2025-03-26,578.2258720944195,563.6810913085938,14.54478078582571,-6.8106689453125,2.55,-1,2.55,0.0,Model
2025-03-27,582.6859972601952,562.18408203125,20.50191522894525,-1.49700927734375,3.64,-1,3.64,0.0,Model
2025-03-28,568.4912955374461,550.8626708984375,17.628624639008677,-11.3214111328125,3.14,-1,3.14,0.0,Model
2025-03-31,575.3757853153842,554.5604248046875,20.815360510696728,3.69775390625,3.78,-1,3.78,0.0,Model
2025-04-01,574.2721074351662,556.1268310546875,18.145276380478673,1.56640625,3.27,-1,3.27,0.0,Model
2025-04-02,581.1241314174592,559.6461791992188,21.47795221824045,3.51934814453125,3.86,-1,3.86,0.0,Model
2025-04-03,551.8678237083566,532.0663452148438,19.80147849351282,-27.579833984375,3.54,-1,3.54,0.0,Model
2025-04-04,533.8279190213702,500.9176330566406,32.91028596472964,-31.148712158203125,6.19,1,6.19,0.0,Model
2025-04-07,533.776802506158,500.0254211425781,33.75138136357986,-0.8922119140625,6.74,1,6.74,0.0,Model
2025-04-08,522.8680908691448,492.193603515625,30.674487353519794,-7.831817626953125,6.13,1,6.13,0.0,Model
2025-04-09,578.1522922568296,543.8834838867188,34.26880837011088,51.68988037109375,6.96,1,6.96,0.0,Model
2025-04-10,542.839783469682,520.051025390625,22.788758079056898,-23.83245849609375,4.19,-1,4.19,0.0,Model
2025-04-11,556.9230372791424,529.3302001953125,27.592837083829913,9.2791748046875,5.31,1,5.31,0.0,Model
2025-04-14,558.0882095969591,534.4654541015625,23.622755495396657,5.13525390625,4.46,-1,4.46,-0.01686734943706282,Model
2025-04-15,557.2011431314382,532.9684448242188,24.232698307219508,-1.49700927734375,4.53,-1,4.53,-0.017674972541201147,Model
2025-04-16,544.8324450540846,521.1216430664062,23.71080198767838,-11.8468017578125,4.45,-1,4.45,-0.03600756425294677,Model
2025-04-17,549.4897670815722,521.8651733398438,27.624593741728447,0.7435302734375,5.3,0,5.3,-0.03131160877140381,None
2025-04-21,531.5908659816631,509.4433898925781,22.147476089084954,-12.421783447265625,4.24,-1,4.24,-0.04998977071511565,Model
2025-04-22,546.4187289727369,522.6979370117188,23.72079196101813,13.254547119140625,4.66,-1,4.66,-0.021035006075647365,Model
2025-04-23,551.2316009652528,530.79736328125,20.434237684002838,8.09942626953125,3.91,-1,3.91,-0.002156346672251814,Model
2025-04-24,564.0912997842337,541.9700927734375,22.12120701079616,11.1727294921875,4.17,-1,4.17,0.020930653076843567,Model
2025-04-25,563.949430892912,545.8860473632812,18.063383529630713,3.91595458984375,3.33,-1,3.33,0.02988823590687401,Model
2025-04-28,562.9837044055145,546.0941772460938,16.88952715942071,0.2081298828125,3.09,-1,3.09,0.030744551330788173,Model
2025-04-29,566.5564924206767,549.5342407226562,17.02225169802041,3.4400634765625,3.12,-1,3.12,0.0377298586509755,Model
2025-04-30,562.8134998728151,549.7523193359375,13.061180536877584,0.21807861328125,2.38,-1,2.38,0.03876688217164532,Model
2025-05-01,568.6747232119433,553.6483764648438,15.026346747099568,3.89605712890625,2.73,1,2.73,0.046721674632824936,Model
2025-05-02,574.8040160855038,561.8668823242188,12.937133761285025,8.218505859375,2.34,1,2.34,0.05927548403312671,Model
2025-05-05,570.5170252796419,558.6448974609375,11.872127818704394,-3.22198486328125,2.11,1,2.11,0.047501065759356614,Model
2025-05-06,563.9062152774566,553.9755249023438,9.93069037511283,-4.66937255859375,1.78,0,1.78,0.03351808239027649,None
2025-05-07,567.4420735753437,556.3052978515625,11.136775723781195,2.32977294921875,2.01,1,2.01,0.03169458593620994,Model
2025-05-08,569.3459527415097,560.1814575195312,9.164495221978436,3.87615966796875,1.65,-1,1.65,0.037315446120777064,Model
2025-05-09,565.6656049575905,559.4677734375,6.197831520090463,-0.71368408203125,1.11,-1,1.11,0.032226774692758406,Model
2025-05-12,589.1208252928845,577.9567260742188,11.164099218665825,18.48895263671875,2.0,1,2.0,0.061577121134856305,Model
2025-05-13,588.4713649352917,581.7734985351562,6.697866400135421,3.8167724609375,1.16,0,1.16,0.06396505346679233,Model
2025-05-14,585.4559560662917,582.5170288085938,2.938927257698025,0.7435302734375,0.51,0,0.51,0.06051984324740443,Model
2025-05-15,587.7564698492228,585.3622436523438,2.3942261968789813,2.84521484375,0.41,0,0.41,0.059504060583427776,Model
2025-05-16,589.5153702685681,589.0699462890625,0.4454239795055551,3.70770263671875,0.08,0,0.08,0.0597694502966496,Model
2025-05-19,579.6937551657575,589.7142944335938,-10.020539267836284,0.64434814453125,-1.7,0,1.7,0.05332305427457828,Model
2025-05-20,577.504369185744,587.7315673828125,-10.227198197068487,-1.98272705078125,-1.73,-1,1.73,0.043719647714321484,Model
2025-05-21,569.4105147634037,577.8277587890625,-8.417244025658778,-9.90380859375,-1.43,-1,1.43,0.021864789014371378,Model
2025-05-22,578.4735676390068,578.0558471679688,0.4177204710380251,0.22808837890625,0.07,-1,0.07,0.019016666310258674,Model
2025-05-23,571.8225612886988,574.1102294921875,-2.287668203488748,-3.94561767578125,-0.4,-1,0.4,0.009549711314879023,Model
2025-05-27,586.3788482236477,586.0462646484375,0.332583575210193,11.93603515625,0.06,-1,0.06,0.026931439246019272,Model
2025-05-28,578.521150555507,582.6558227539062,-4.134672198399279,-3.39044189453125,-0.71,-1,0.71,0.01803605855215299,Model
2025-05-29,582.7439806889271,584.9557495117188,-2.211768822791654,2.2999267578125,-0.38,-1,0.38,0.01892094719323067,Model
2025-05-30,580.3588528478846,584.301513671875,-3.9426608239904373,-0.65423583984375,-0.67,-1,0.67,0.015071413021360615,Model
2025-06-02,585.2278890946707,587.5928955078125,-2.3650064131418342,3.2913818359375,-0.4,1,0.4,0.018513348216889963,Model
2025-06-03,586.5171459109422,590.943603515625,-4.426457604682788,3.3507080078125,-0.75,-1,0.75,0.021461999017680953,Model
2025-06-04,586.2847497019326,590.7849731445312,-4.500223442598708,-0.15863037109375,-0.76,-1,0.76,0.017949393278490263,Model
2025-06-05,583.4211447197362,587.9298095703125,-4.508664850576337,-2.85516357421875,-0.76,-1,0.76,0.010277292145630196,Model
2025-06-06,592.2790716991786,593.96728515625,-1.6882134570713616,6.0374755859375,-0.29,1,0.29,0.017697681274602122,Model
2025-06-09,584.8751128072834,594.5026245117188,-9.627511704435443,0.53533935546875,-1.62,-1,1.62,0.015566785609407207,Model
2025-06-10,587.1745381578027,597.873291015625,-10.698752857822376,3.37066650390625,-1.8,-1,1.8,0.01959030794266818,Model
2025-06-11,581.9816397799924,596.1680908203125,-14.186451040320089,-1.7052001953125,-2.37,-1,2.37,0.015435979018991512,Model
2025-06-12,587.8904552227267,598.5374755859375,-10.64702036321083,2.369384765625,-1.79,-1,1.79,0.018082654455439013,Model
2025-06-13,581.0676022292631,591.8458251953125,-10.778222966049354,-6.691650390625,-1.8,-1,1.8,0.0061456865823836864,Model
2025-06-16,592.27237823037,597.4766845703125,-5.204306339942508,5.630859375,-0.88,-1,0.88,0.014992929671028757,Model
2025-06-17,588.5241987677803,592.3712158203125,-3.8470170525322778,-5.10546875,-0.64,-1,0.64,0.0060927095117828435,Model
2025-06-18,589.245803013878,592.2819213867188,-3.036118372840719,-0.08929443359375,-0.51,1,0.51,0.005552485147321135,Model
2025-06-20,587.8254179631768,590.8909912109375,-3.0655732477606454,-1.39093017578125,-0.52,1,0.52,0.002079801782513605,Model
2025-06-23,597.3660618832215,596.7274780273438,0.6385838558777919,5.83648681640625,0.11,1,0.11,0.010378106306020688,Model
2025-06-24,597.798596278654,603.3196411132812,-5.521044834627167,6.5921630859375,-0.93,-1,0.93,0.019020046624280668,Model
2025-06-25,591.309356379728,603.65771484375,-12.348358464021988,0.33807373046875,-2.05,-1,2.05,0.01807686850270213,Model
2025-06-26,594.4555558481417,608.380615234375,-13.925059386233308,4.722900390625,-2.31,-1,2.31,0.023821168864353433,Model
2025-06-27,597.5907935155819,611.4032592773438,-13.812465761761834,3.02264404296875,-2.27,-1,2.27,0.02662324100281095,Model
