window,num_std,hold_period,total_signals,long_signals,short_signals,win_rate,avg_return,sharpe,long_win,long_avg,short_win,short_avg
20,3.0,15,162,82,80,0.5802469135802469,0.05471721910145899,2.793784478294151,0.5853658536585366,0.04967473941487236,0.575,0.05988576078021028
15,3.0,15,95,45,50,0.5789473684210527,0.05406317371404298,1.9065605536798191,0.5555555555555556,0.01691765447674629,0.6,0.08749414102760998
15,3.0,60,95,45,50,0.5368421052631579,0.052608110223133296,1.3997198358285727,0.5555555555555556,0.033769644540540766,0.52,0.06956272933746656
10,2.5,30,169,85,84,0.5088757396449705,0.04463098063521432,2.1241782605142028,0.5411764705882353,0.03377032051989448,0.47619047619047616,0.05562093432333557
20,3.0,60,162,82,80,0.5370370370370371,0.04435908803825386,1.5485526274017063,0.5487804878048781,0.034267168712900815,0.525,0.05470330534674073
30,3.0,120,311,171,140,0.5562700964630225,0.04415118704967801,1.673082933268214,0.5789473684210527,0.06587477076668022,0.5285714285714286,0.01761738122391107
10,2.5,15,169,85,84,0.5443786982248521,0.043060843913161,2.310924014042106,0.5176470588235295,0.030875629038212674,0.5714285714285714,0.05539112086995395
30,3.0,15,312,172,140,0.5673076923076923,0.040997081036375074,3.14164771912602,0.5406976744186046,0.038972743299094774,0.6,0.04348412454217659
50,3.0,120,477,263,214,0.5429769392033543,0.04050205370626382,1.9161826126140349,0.5779467680608364,0.03551250514941111,0.5,0.04663406898875108
15,3.0,120,95,45,50,0.5157894736842106,0.040176434509303784,0.8698734691482276,0.5333333333333333,0.046530468380271826,0.5,0.03445780402543254
10,2.5,60,169,85,84,0.5621301775147929,0.03903540062540631,1.5875009814792933,0.6352941176470588,0.019833686312147224,0.4880952380952381,0.05846570677572799
30,3.0,60,312,172,140,0.5448717948717948,0.03837926719900618,2.0178067478004587,0.5581395348837209,0.04066150912661266,0.5285714285714286,0.03557536997366108
20,2.5,120,813,446,367,0.5461254612546126,0.038085310617444204,2.3351694638440823,0.6053811659192825,0.07521677702872938,0.47411444141689374,-0.007039032759757939
20,3.0,30,162,82,80,0.5,0.037996161940043426,1.470282841889051,0.5121951219512195,0.04724974489530565,0.4875,0.02851123941089964
20,3.0,120,162,82,80,0.48148148148148145,0.036479657866047656,0.9571232247714682,0.5,0.05043886316379895,0.4625,0.02217147243585258
20,2.5,60,814,447,367,0.5356265356265356,0.03396057801755562,2.8588827798272844,0.5973154362416108,0.057333261803110845,0.4604904632152589,0.005493031281470653
15,3.0,30,95,45,50,0.47368421052631576,0.033708452355365306,0.9925017142143993,0.5333333333333333,0.02553107800258301,0.42,0.04106808927286936
50,3.0,15,477,263,214,0.5555555555555556,0.03090237921850528,3.151162060207516,0.55893536121673,0.03390070023515259,0.5514018691588785,0.02721752675412098
20,2.5,30,815,447,368,0.5374233128834356,0.02998323888990613,3.098351304184881,0.5749440715883669,0.0489907958615624,0.49184782608695654,0.00689525528574755
15,2.5,60,556,298,258,0.5629496402877698,0.0298653084558348,2.125486283484235,0.6308724832214765,0.04112317432887158,0.4844961240310077,0.016862037021086903
30,3.0,30,312,172,140,0.5384615384615384,0.029659202303775806,1.807951769807795,0.5755813953488372,0.037773740999824175,0.4928571428571429,0.01968991190577354
10,2.5,120,167,83,84,0.5089820359281437,0.02550848703279743,0.7597410185921709,0.5783132530120482,0.04160546827990457,0.44047619047619047,0.009603136514822527
15,2.5,120,553,295,258,0.5515370705244123,0.023676870436188553,1.1781281947221938,0.6067796610169491,0.04406357141737423,0.4883720930232558,0.00036649528328245803
20,2.5,15,815,447,368,0.5386503067484663,0.019554852848329744,2.798347799250046,0.5548098434004475,0.027647860115991154,0.5190217391304348,0.009724488042230155
15,2.5,30,556,298,258,0.5251798561151079,0.019369623999291277,1.6684726809404842,0.5436241610738255,0.02251792391583982,0.5038759689922481,0.01573321556854916
30,2.5,15,1053,551,502,0.5308641975308642,0.016780027559247908,2.838017148772103,0.5499092558983666,0.02658371166102572,0.5099601593625498,0.006019410148730829
15,2.5,15,556,298,258,0.5359712230215827,0.01587374149291939,1.8607935569703884,0.5067114093959731,0.013230194824656191,0.5697674418604651,0.018927140357812542
50,2.5,15,1378,716,662,0.5195936139332366,0.013208299414463087,2.5166767064770683,0.5013966480446927,0.014461481395186684,0.5392749244712991,0.011852894130175935
50,3.0,30,477,263,214,0.5073375262054507,0.012649248920988168,1.0475799172206037,0.5399239543726235,0.01488197327744648,0.4672897196261682,0.009905293286649217
50,3.0,60,477,263,214,0.5178197064989518,0.011609269186191042,0.7676344053450871,0.5513307984790875,0.00709031165713553,0.4766355140186916,0.017162941289656477
30,2.5,30,1053,551,502,0.49572649572649574,0.009638962399356197,1.2224968577018334,0.542649727767695,0.025119246080440753,0.4442231075697211,-0.00735234498765095
20,2.0,15,2789,1411,1378,0.5130871280028684,0.008136202982416879,2.490631661953512,0.5180722891566265,0.011474586749399857,0.5079825834542816,0.0047178724343668165
10,2.0,60,1659,864,795,0.5298372513562387,0.00774122031697324,0.976590229270038,0.5949074074074074,0.014954404835773783,0.4591194968553459,-9.801417893074975e-05
15,2.0,15,2427,1247,1180,0.5125669550885867,0.007592743492995752,2.2260566358664358,0.5172413793103449,0.01074456062685203,0.5076271186440678,0.00426196725069171
50,2.5,30,1378,716,662,0.48548621190130625,0.006964995648607281,1.0355876881827026,0.49022346368715086,0.008492803844356292,0.48036253776435045,0.005312562615138567
10,2.0,30,1660,864,796,0.5120481927710844,0.006613785873255643,1.15233649299113,0.5393518518518519,0.013193587159259446,0.4824120603015075,-0.0005281089899444634
